id,label,region,layer,oem_group,node_type,control_boundary,confidence,notes,source_name,source_url,source_date,evidence_note,evidence_status,provenance_id,provenance_parent,citation_required,last_validated_date,verification_level,verification_status
europe_jaguar_land_rover__telco__orange,Orange,europe,Connectivity Providers,Jaguar Land Rover,Connectivity,external,soft,Connectivity partner; varies by market,Company website,https://www.orange.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_8cfea5c898,,1,,1.0,REFERENCED
europe_jaguar_land_rover__telco__telefónica,Telefónica,europe,Connectivity Providers,Jaguar Land Rover,Connectivity,external,soft,Connectivity partner; varies by market,Company website,https://www.telefonica.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_e17ff8cc7a,,1,,1.0,REFERENCED
europe_jaguar_land_rover__cloudvendor__aws,AWS,europe,Cloud Infrastructure,Jaguar Land Rover,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://aws.amazon.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_14af353530,,1,,1.0,REFERENCED
europe_jaguar_land_rover__cloudvendor__microsoft_azure,Microsoft Azure,europe,Cloud Infrastructure,Jaguar Land Rover,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://azure.microsoft.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_3c299fa662,,1,,1.0,REFERENCED
europe_jaguar_land_rover__cloudvendor__google_cloud,Google Cloud,europe,Cloud Infrastructure,Jaguar Land Rover,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://cloud.google.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_4f7a1db152,,1,,1.0,REFERENCED
europe_jaguar_land_rover__ins__allianz,Allianz,europe,External Insurance & Risk Ecosystem,Jaguar Land Rover,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_ce723b3fa0,,1,,1.0,ASSUMED
europe_jaguar_land_rover__ins__axa,AXA,europe,External Insurance & Risk Ecosystem,Jaguar Land Rover,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f19f8f2ede,,1,,1.0,ASSUMED
europe_jaguar_land_rover__ins__zurich_insurance,Zurich Insurance,europe,External Insurance & Risk Ecosystem,Jaguar Land Rover,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_6e7abc4a67,,1,,1.0,ASSUMED
europe_jaguar_land_rover__ins__generali,Generali,europe,External Insurance & Risk Ecosystem,Jaguar Land Rover,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_a6de362ffa,,1,,1.0,ASSUMED
europe_jaguar_land_rover__chg__ionity,IONITY,europe,Energy & Charging,Jaguar Land Rover,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_19459e0629,,1,,1.0,ASSUMED
europe_jaguar_land_rover__chg__shell_recharge,Shell Recharge,europe,Energy & Charging,Jaguar Land Rover,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0c8484a81a,,1,,1.0,ASSUMED
europe_jaguar_land_rover__chg__bp_pulse,BP Pulse,europe,Energy & Charging,Jaguar Land Rover,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_6ca505e0e2,,1,,1.0,ASSUMED
europe_jaguar_land_rover__adas__mobileye,Mobileye,europe,Semiconductor & Compute,Jaguar Land Rover,ADAS,external,soft,ADAS / perception + mapping,Company website,https://www.mobileye.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_ba40a8ab3f,,1,,1.0,REFERENCED
europe_jaguar_land_rover__adas__nvidia_drive,NVIDIA DRIVE,europe,Semiconductor & Compute,Jaguar Land Rover,ADAS,external,soft,ADAS compute + software platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_86d8dcfccf,,1,,1.0,ASSUMED
europe_jaguar_land_rover__adas__qualcomm_snapdragon_ride,Qualcomm Snapdragon Ride,europe,Semiconductor & Compute,Jaguar Land Rover,ADAS,external,soft,ADAS compute + software platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_1f266fcb86,,1,,1.0,ASSUMED
europe_jaguar_land_rover__adas__bosch_adas,Bosch ADAS,europe,Tier-1 Hardware Suppliers,Jaguar Land Rover,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_788e4391ba,,1,,1.0,ASSUMED
europe_jaguar_land_rover__adas__continental_adas,Continental ADAS,europe,Tier-1 Hardware Suppliers,Jaguar Land Rover,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_248bb6eebf,,1,,1.0,ASSUMED
europe_jaguar_land_rover__adas__aptiv_adas,Aptiv ADAS,europe,Tier-1 Hardware Suppliers,Jaguar Land Rover,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_26c5bbaf0f,,1,,1.0,ASSUMED
europe_jaguar_land_rover__map__here_technologies,HERE Technologies,europe,Product APIs,Jaguar Land Rover,Mapping,external,soft,HD maps + location,Company website,https://www.here.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_2552b9036d,,1,,1.0,REFERENCED
europe_jaguar_land_rover__map__tomtom,TomTom,europe,Product APIs,Jaguar Land Rover,Mapping,external,soft,Maps + traffic,Company website,https://www.tomtom.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_b7e7341490,,1,,1.0,REFERENCED
europe_jaguar_land_rover__map__google_maps_platform,Google Maps Platform,europe,Product APIs,Jaguar Land Rover,Mapping,external,soft,Maps + routing,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_7edff47eb8,,1,,1.0,ASSUMED
europe_jaguar_land_rover__dealer_vendor__sap_dealer_ops,SAP (Dealer Ops),europe,Dealer Systems,Jaguar Land Rover,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_d7c694c30d,,1,,1.0,ASSUMED
europe_jaguar_land_rover__dealer_vendor__autoline_keyloop,Autoline (Keyloop),europe,Dealer Systems,Jaguar Land Rover,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_2ac4d73c6a,,1,,1.0,ASSUMED
europe_jaguar_land_rover__dealer_vendor__pinewood_dms,Pinewood DMS,europe,Dealer Systems,Jaguar Land Rover,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_2ffbd850d3,,1,,1.0,ASSUMED
europe_jaguar_land_rover__fleet__geotab,Geotab,europe,Fleet & Enterprise Integrations,Jaguar Land Rover,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Company website,https://www.geotab.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_a29fd77ce2,,1,,1.0,REFERENCED
europe_jaguar_land_rover__fleet__webfleet_bridgestone,Webfleet (Bridgestone),europe,Fleet & Enterprise Integrations,Jaguar Land Rover,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_ab5c599c89,,1,,1.0,ASSUMED
europe_jaguar_land_rover__fleet__samsara,Samsara,europe,Fleet & Enterprise Integrations,Jaguar Land Rover,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Company website,https://www.samsara.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_f20357f1f6,,1,,1.0,REFERENCED
china_saic_motor__holdco,SAIC Motor,china,Ownership & Brand Stack,SAIC Motor,HOLDCO,oem,hard,OEM group parent,Company structure (general),,2026-03-02,Entity node,ASSUMED,n_6f0e9b9362,,1,,1.0,ASSUMED
china_saic_motor__os,Vehicle OS Platform (SAIC Motor),china,Vehicle OS & Middleware,SAIC Motor,OS,oem,medium,OEM-controlled OS/middleware layer,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_a748683579,,1,,1.0,ASSUMED
china_saic_motor__ota,OTA Update Service (SAIC Motor),china,OTA & Software Update Infrastructure,SAIC Motor,OTA,oem,medium,Update orchestration + policy,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_183fb28d32,,1,,1.0,ASSUMED
china_saic_motor__tcu,Telematics Gateway/TCU (SAIC Motor),china,Telematics & TCU,SAIC Motor,Telematics,oem,medium,Vehicle telemetry gateway,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_d42662f064,,1,,1.0,ASSUMED
china_saic_motor__carrier,Carrier/MVNO (SAIC Motor),china,Connectivity Providers,SAIC Motor,Connectivity,external,soft,Carrier partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_1e42e20485,,1,,1.0,ASSUMED
china_saic_motor__cloud,Cloud Hosting (SAIC Motor),china,Cloud Infrastructure,SAIC Motor,Cloud,external,soft,Cloud mix varies by program,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_fb9320200c,,1,,1.0,ASSUMED
china_saic_motor__stream,Streaming Layer (SAIC Motor),china,Streaming & Data Lake,SAIC Motor,DataPlatform,oem,medium,Ingestion + streaming layer,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_51bd0692f4,,1,,1.0,ASSUMED
china_saic_motor__lake,Lakehouse (SAIC Motor),china,Streaming & Data Lake,SAIC Motor,DataPlatform,oem,medium,Long-term telemetry storage,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_d2de8c266a,,1,,1.0,ASSUMED
china_saic_motor__ai,AI/Analytics (SAIC Motor),china,AI / Analytics,SAIC Motor,AI,oem,medium,ML analytics over vehicle + customer data,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0fc19a9199,,1,,1.0,ASSUMED
china_saic_motor__api,Product APIs (SAIC Motor),china,Product APIs,SAIC Motor,API,oem,medium,External + internal API surface,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_7da3cafdde,,1,,1.0,ASSUMED
china_saic_motor__gov,Governance Controls (PIPL/CSL/DSL),china,Data Governance & Sovereignty,SAIC Motor,Governance,regulatory,hard,Consent/retention/access + localization rules,NPC (PIPL),https://en.npc.gov.cn.cdurl.cn/2021-12/29/c_694559.htm,2026-03-02,Official NPC English page for PIPL.,VERIFIED,n_83c74f4695,,0,2026-03-02,4.0,VERIFIED
china_saic_motor__reg,Regulators (MIIT Telemetry Reporting),china,Regulators,SAIC Motor,Regulator,regulatory,hard,Cybersecurity + software update governance / reporting,Policy/Regulatory,,2026-03-02,Regulatory obligation; verify local implementation specifics,ASSUMED,n_feb3aaa655,,1,,1.0,ASSUMED
china_saic_motor__dms,Dealer Systems (CHINA),china,Dealer Systems,SAIC Motor,DealerTech,external,soft,Dealer management layer; vendor varies by country,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b87bfc3ae9,,1,,1.0,ASSUMED
china_saic_motor__gateway,China Compliance Gateway,china,Connectivity Providers,SAIC Motor,Governance,regulatory,hard,Domestic routing/monitoring + localization enforcement,Policy/Regulatory,,2026-03-02,Regulatory obligation; verify local implementation specifics,ASSUMED,n_af4194a65b,,1,,1.0,ASSUMED
china_saic_motor__tier1__bosch,Bosch,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.bosch.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_2f704c0aeb,,1,,1.0,REFERENCED
china_saic_motor__tier1__continental,Continental,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.continental.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_5dc3daa787,,1,,1.0,REFERENCED
china_saic_motor__tier1__zf,ZF,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.zf.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_2d146295bf,,1,,1.0,REFERENCED
china_saic_motor__tier1__valeo,Valeo,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.valeo.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_74ca91b78b,,1,,1.0,REFERENCED
china_saic_motor__tier1__forvia,Forvia,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_8b726afd74,,1,,1.0,ASSUMED
china_saic_motor__tier1__aptiv,Aptiv,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.aptiv.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_26cc322504,,1,,1.0,REFERENCED
china_saic_motor__tier1__magna_international,Magna International,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_e8bfb6f429,,1,,1.0,ASSUMED
china_saic_motor__tier1__lear_corporation,Lear Corporation,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_987dd9ab45,,1,,1.0,ASSUMED
china_saic_motor__tier1__denso,Denso,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_5c91c1107d,,1,,1.0,ASSUMED
china_saic_motor__tier1__aisin,Aisin,china,Tier-1 Hardware Suppliers,SAIC Motor,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_a2c2d6b4ba,,1,,1.0,ASSUMED
china_saic_motor__battery__catl,CATL,china,Battery & Cell Suppliers,SAIC Motor,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f9e703d0ed,,1,,1.0,ASSUMED
china_saic_motor__battery__byd_battery,BYD Battery,china,Battery & Cell Suppliers,SAIC Motor,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_abef2b64df,,1,,1.0,ASSUMED
china_saic_motor__battery__lg_energy_solution,LG Energy Solution,china,Battery & Cell Suppliers,SAIC Motor,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_1c599e9f15,,1,,1.0,ASSUMED
china_saic_motor__battery__sk_on,SK On,china,Battery & Cell Suppliers,SAIC Motor,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0b181fffd5,,1,,1.0,ASSUMED
china_saic_motor__battery__samsung_sdi,Samsung SDI,china,Battery & Cell Suppliers,SAIC Motor,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_288e07c0ca,,1,,1.0,ASSUMED
china_saic_motor__battery__panasonic_energy,Panasonic Energy,china,Battery & Cell Suppliers,SAIC Motor,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f968bdb467,,1,,1.0,ASSUMED
china_saic_motor__chip__nvidia,NVIDIA,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.nvidia.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_339bd41180,,1,,1.0,REFERENCED
china_saic_motor__chip__qualcomm,Qualcomm,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.qualcomm.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_b90f4e60f9,,1,,1.0,REFERENCED
china_saic_motor__chip__nxp,NXP,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.nxp.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_c848676f60,,1,,1.0,REFERENCED
china_saic_motor__chip__renesas,Renesas,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.renesas.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_fad9701476,,1,,1.0,REFERENCED
china_saic_motor__chip__infineon,Infineon,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.infineon.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_708b6033ce,,1,,1.0,REFERENCED
china_saic_motor__chip__stmicroelectronics,STMicroelectronics,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.st.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_73c1feba8f,,1,,1.0,REFERENCED
china_saic_motor__chip__texas_instruments,Texas Instruments,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.ti.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_dfafc66347,,1,,1.0,REFERENCED
china_saic_motor__chip__intel,Intel,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_5d0c9aa7d7,,1,,1.0,ASSUMED
china_saic_motor__chip__mobileye,Mobileye,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.mobileye.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_4b529c6a80,,1,,1.0,REFERENCED
china_saic_motor__chip__amd,AMD,china,Semiconductor & Compute,SAIC Motor,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_4a5b966462,,1,,1.0,ASSUMED
china_saic_motor__telco__china_mobile,China Mobile,china,Connectivity Providers,SAIC Motor,Connectivity,external,soft,Connectivity partner; varies by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b626f31543,,1,,1.0,ASSUMED
china_saic_motor__telco__china_unicom,China Unicom,china,Connectivity Providers,SAIC Motor,Connectivity,external,soft,Connectivity partner; varies by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_411f35a9d4,,1,,1.0,ASSUMED
china_saic_motor__telco__china_telecom,China Telecom,china,Connectivity Providers,SAIC Motor,Connectivity,external,soft,Connectivity partner; varies by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_88ee6b27f9,,1,,1.0,ASSUMED
china_saic_motor__cloudvendor__alibaba_cloud,Alibaba Cloud,china,Cloud Infrastructure,SAIC Motor,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://www.alibabacloud.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_3ca997d568,,1,,1.0,REFERENCED
china_saic_motor__cloudvendor__tencent_cloud,Tencent Cloud,china,Cloud Infrastructure,SAIC Motor,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://www.tencentcloud.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_6fcdab56a2,,1,,1.0,REFERENCED
china_saic_motor__cloudvendor__huawei_cloud,Huawei Cloud,china,Cloud Infrastructure,SAIC Motor,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://www.huaweicloud.com/intl/en-us/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_da942c4a17,,1,,1.0,REFERENCED
china_saic_motor__ins__ping_an,Ping An,china,External Insurance & Risk Ecosystem,SAIC Motor,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_77e32dabd7,,1,,1.0,ASSUMED
china_saic_motor__ins__zhongan,ZhongAn,china,External Insurance & Risk Ecosystem,SAIC Motor,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_a8ab2a52cc,,1,,1.0,ASSUMED
china_saic_motor__chg__state_grid_ev,State Grid EV,china,Energy & Charging,SAIC Motor,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f52c4c0c60,,1,,1.0,ASSUMED
china_saic_motor__chg__teld,TELD,china,Energy & Charging,SAIC Motor,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f4469a7b28,,1,,1.0,ASSUMED
china_saic_motor__chg__starcharge,StarCharge,china,Energy & Charging,SAIC Motor,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_e8284bfd67,,1,,1.0,ASSUMED
china_saic_motor__adas__mobileye,Mobileye,china,Semiconductor & Compute,SAIC Motor,ADAS,external,soft,ADAS / perception + mapping,Company website,https://www.mobileye.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_663397db92,,1,,1.0,REFERENCED
china_saic_motor__adas__nvidia_drive,NVIDIA DRIVE,china,Semiconductor & Compute,SAIC Motor,ADAS,external,soft,ADAS compute + software platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_a60865bde4,,1,,1.0,ASSUMED
china_saic_motor__adas__qualcomm_snapdragon_ride,Qualcomm Snapdragon Ride,china,Semiconductor & Compute,SAIC Motor,ADAS,external,soft,ADAS compute + software platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_5e12d70541,,1,,1.0,ASSUMED
china_saic_motor__adas__bosch_adas,Bosch ADAS,china,Tier-1 Hardware Suppliers,SAIC Motor,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_58a538117a,,1,,1.0,ASSUMED
china_saic_motor__adas__continental_adas,Continental ADAS,china,Tier-1 Hardware Suppliers,SAIC Motor,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_57d715f384,,1,,1.0,ASSUMED
china_saic_motor__adas__aptiv_adas,Aptiv ADAS,china,Tier-1 Hardware Suppliers,SAIC Motor,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_e9619794bf,,1,,1.0,ASSUMED
china_saic_motor__map__baidu_maps_cn,Baidu Maps (CN),china,Product APIs,SAIC Motor,Mapping,external,soft,Maps + navigation,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_ef42a015ad,,1,,1.0,ASSUMED
china_saic_motor__map__autonavi_amap_cn,AutoNavi/AMap (CN),china,Product APIs,SAIC Motor,Mapping,external,soft,Maps + navigation,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_408bb8adf9,,1,,1.0,ASSUMED
china_saic_motor__map__here_technologies,HERE Technologies,china,Product APIs,SAIC Motor,Mapping,external,soft,HD maps + location,Company website,https://www.here.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_51fc249462,,1,,1.0,REFERENCED
china_saic_motor__dealer_vendor__yonyou_dealer_ops,Yonyou (Dealer Ops),china,Dealer Systems,SAIC Motor,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0b9cb86869,,1,,1.0,ASSUMED
china_saic_motor__dealer_vendor__neusoft_dealer_tech,Neusoft (Dealer Tech),china,Dealer Systems,SAIC Motor,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0096598d89,,1,,1.0,ASSUMED
china_saic_motor__fleet__didi_fleet,Didi Fleet,china,Fleet & Enterprise Integrations,SAIC Motor,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_9700dab7da,,1,,1.0,ASSUMED
china_saic_motor__fleet__meituan_logistics,Meituan Logistics,china,Fleet & Enterprise Integrations,SAIC Motor,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_73899c728e,,1,,1.0,ASSUMED
china_saic_motor__fleet__huawei_fleet_iot,Huawei Fleet IoT,china,Fleet & Enterprise Integrations,SAIC Motor,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_386d98d9e4,,1,,1.0,ASSUMED
china_geely_holding_group__holdco,Geely Holding Group,china,Ownership & Brand Stack,Geely Holding Group,HOLDCO,oem,hard,OEM group parent,Company structure (general),,2026-03-02,Entity node,ASSUMED,n_958712a59f,,1,,1.0,ASSUMED
